tweet_id,text,rating_numerator,rating_denominator,name,source_link,source_text,day,month,year,hour,minute,seconds,dog_stage,jpg_url,dog_type,conf_level,favorite_count,retweet_count
892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13.0,10,Tilly,"""http://twitter.com/download/iphone""",Twitter for iPhone,1,8,2017,0,17,27,,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,papillon,0.0689569,31363,5736
891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12.0,10,Archie,"""http://twitter.com/download/iphone""",Twitter for iPhone,31,7,2017,0,18,3,,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,kelpie,0.0313789,23636,3798
891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13.0,10,Darla,"""http://twitter.com/download/iphone""",Twitter for iPhone,30,7,2017,15,58,51,,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,Labrador_retriever,0.168086,39733,7902
891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12.0,10,Franklin,"""http://twitter.com/download/iphone""",Twitter for iPhone,29,7,2017,16,0,24,,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,German_short-haired_pointer,0.175219,37922,8538
891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13.0,10,,"""http://twitter.com/download/iphone""",Twitter for iPhone,29,7,2017,0,8,17,,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Irish_terrier,0.116317,19096,2853
890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13.0,10,Jax,"""http://twitter.com/download/iphone""",Twitter for iPhone,28,7,2017,16,27,12,,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Border_collie,0.199287,11124,1863
890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13.0,10,,"""http://twitter.com/download/iphone""",Twitter for iPhone,28,7,2017,0,22,40,,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pembroke,0.0765069,61373,17287
890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13.0,10,Zoey,"""http://twitter.com/download/iphone""",Twitter for iPhone,27,7,2017,16,25,51,,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Chesapeake_Bay_retriever,0.118184,26298,3937
890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14.0,10,Cassie,"""http://twitter.com/download/iphone""",Twitter for iPhone,26,7,2017,15,59,51,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Chihuahua,0.0292482,30040,6737
890006608113172480,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13.0,10,Koda,"""http://twitter.com/download/iphone""",Twitter for iPhone,26,7,2017,0,31,25,,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,chow,0.00816748,28919,6730
889880896479866881,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13.0,10,Bruno,"""http://twitter.com/download/iphone""",Twitter for iPhone,25,7,2017,16,11,53,,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,Labrador_retriever,0.151317,26279,4575
889665388333682689,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,13.0,10,,"""http://twitter.com/download/iphone""",Twitter for iPhone,25,7,2017,1,55,32,puppo,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,basenji,0.00463323,45301,9173
889638837579907072,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,12.0,10,Ted,"""http://twitter.com/download/iphone""",Twitter for iPhone,25,7,2017,0,10,2,,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,Staffordshire_bullterrier,0.00149818,25492,4122
889531135344209921,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,13.0,10,Stuart,"""http://twitter.com/download/iphone""",Twitter for iPhone,24,7,2017,17,2,4,puppo,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,redbone,0.00795775,14261,2067
889278841981685760,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,13.0,10,Oliver,"""http://twitter.com/download/iphone""",Twitter for iPhone,24,7,2017,0,19,32,,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,Saluki,0.0273507,23740,4895
888917238123831296,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,12.0,10,Jim,"""http://twitter.com/download/iphone""",Twitter for iPhone,23,7,2017,0,22,39,,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,Labrador_retriever,0.105506,27450,4130
888804989199671297,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,13.0,10,Zeke,"""http://twitter.com/download/iphone""",Twitter for iPhone,22,7,2017,16,56,37,,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,English_setter,0.0734817,24102,3897
888554962724278272,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,13.0,10,Ralphus,"""http://twitter.com/download/iphone""",Twitter for iPhone,22,7,2017,0,23,6,,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,malamute,0.111411,18633,3195
888078434458587136,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,12.0,10,Gerald,"""http://twitter.com/download/iphone""",Twitter for iPhone,20,7,2017,16,49,33,,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,bull_mastiff,0.000903211,20517,3173
887705289381826560,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,13.0,10,Jeffrey,"""http://twitter.com/download/iphone""",Twitter for iPhone,19,7,2017,16,6,48,,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,Weimaraner,0.026236400000000003,28495,4935
887343217045368832,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,13.0,10,,"""http://twitter.com/download/iphone""",Twitter for iPhone,18,7,2017,16,8,3,,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,Weimaraner,0.134203,31706,9608
887101392804085760,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,12.0,10,,"""http://twitter.com/download/iphone""",Twitter for iPhone,18,7,2017,0,7,8,,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,Staffordshire_bullterrier,0.029704700000000007,28859,5462
886983233522544640,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT,13.0,10,Maya,"""http://twitter.com/download/iphone""",Twitter for iPhone,17,7,2017,16,17,36,,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,toy_terrier,0.143528,32971,7044
886736880519319552,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b",13.0,10,Mingus,"""http://twitter.com/download/iphone""",Twitter for iPhone,16,7,2017,23,58,41,,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,Dandie_Dinmont,0.08634630000000001,11304,2948
886366144734445568,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,12.0,10,Roscoe,"""http://twitter.com/download/iphone""",Twitter for iPhone,15,7,2017,23,25,31,pupper,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,Boston_bull,7.55616e-05,19953,2905
886258384151887873,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles https://t.co/xZDA9Qsq1O,13.0,10,Waffles,"""http://twitter.com/download/iphone""",Twitter for iPhone,15,7,2017,16,17,19,,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,pug,0.943575,26393,5791
